"Date";"contador";"FromHour";"ToHour";"Sum"
2017-10-22;"1";4;6;86329.8919306466
2017-10-22;"1";6;8;26634.1819292837
2017-10-22;"1";8;10;2369.80251645696
2017-10-22;"1";10;12;2369.80251645696
2017-10-22;"1";12;14;2369.80251645696
2017-10-22;"1";14;16;2369.80251645696
2017-10-22;"1";16;18;35360.1322107724
2017-10-22;"1";18;20;104710
2017-10-22;"1";20;22;32138.8650551079
2017-10-22;"1";22;24;9493.14424256887
2017-10-22;"1";0;2;7211.40538587666
2017-10-23;"1";2;4;7211.40538587666
2017-10-23;"1";4;6;7211.40538587666
2017-10-23;"1";6;8;7211.40538587666
2017-10-23;"1";8;10;32749.6972829762
2017-10-23;"1";10;12;103147.333333333
2017-10-23;"1";12;14;45806.2461173059
2017-10-23;"1";14;16;28362.9297182251
2017-10-23;"1";16;18;28362.9297182251
2017-10-23;"1";18;20;50220.0169342525
2017-10-23;"1";20;22;102763.102990033
2017-10-23;"1";22;24;73881.3333333333
2017-10-23;"1";0;2;6965
2017-10-24;"1";2;4;6965
2017-10-24;"1";4;6;6965
2017-10-24;"1";6;8;6965
2017-10-24;"1";8;10;6965
2017-10-24;"1";10;12;32270.3333333333
2017-10-24;"1";12;14;102541.23783032
2017-10-24;"1";14;16;79082
2017-10-24;"1";16;18;13330
2017-10-24;"1";18;20;13330
2017-10-24;"1";20;22;30639.3333333333
2017-10-24;"1";22;24;97709.3333333333
2017-10-24;"1";0;2;28918.980578478
2017-10-25;"1";2;4;6159.53988497124
2017-10-25;"1";4;6;6159.53988497124
2017-10-25;"1";6;8;6159.53988497124
2017-10-25;"1";8;10;6159.53988497124
2017-10-25;"1";10;12;68787.8926398266
2017-10-25;"1";12;14;103093.194713982
2017-10-25;"1";14;16;102992.666666667
2017-10-25;"1";16;18;103279.634545959
2017-10-25;"1";18;20;28410.2666666667
2017-10-25;"1";20;22;5636
2017-10-25;"1";22;24;6048.58467467022
2017-10-25;"1";0;2;7183.19253001334
2017-10-26;"1";2;4;7183.19253001334
2017-10-26;"1";4;6;81506.4019820586
2017-10-26;"1";6;8;32737.9014449796
2017-10-26;"1";8;10;11000.7410151908
2017-10-26;"1";10;12;11000.7410151908
2017-10-26;"1";12;14;62115.0942601659
2017-10-26;"1";14;16;102749.333333333
2017-10-26;"1";16;18;77204.6615791966
2017-10-26;"1";18;20;8389.22322007222
2017-10-26;"1";20;22;8389.22322007222
2017-10-26;"1";22;24;13447.5629529486
2017-10-26;"1";0;2;47859.8646267965
2017-10-27;"1";2;4;79157.7319470349
2017-10-27;"1";4;6;10668.994801381
2017-10-27;"1";6;8;10668.994801381
2017-10-27;"1";8;10;10668.994801381
2017-10-27;"1";10;12;35569.4321203222
2017-10-27;"1";12;14;101920.740987243
2017-10-27;"1";14;16;78656.7799344885
2017-10-27;"1";16;18;12232.9247543317
2017-10-27;"1";18;20;12232.9247543317
2017-10-27;"1";20;22;12232.9247543317
2017-10-27;"1";22;24;25946.8114865099
2017-10-27;"1";0;2;94906.9949916528
2017-10-28;"1";2;4;29598.8232680267
2017-10-28;"1";4;6;6814.98687133912
2017-10-28;"1";6;8;6814.98687133912
2017-10-28;"1";8;10;6814.98687133912
2017-10-28;"1";10;12;6814.98687133912
2017-10-28;"1";12;14;19184.3237056487
2017-10-28;"1";14;16;91802
2017-10-28;"1";16;18;32973.1462127525
2017-10-28;"1";18;20;11441.4950601119
2017-10-28;"1";20;22;11441.4950601119
2017-10-28;"1";22;24;8933.29479084873
2017-10-28;"1";0;2;2035.74405037503
2017-10-29;"1";2;4;3053.61607556255
2017-10-29;"1";4;6;2035.74405037503
2017-10-29;"1";6;8;29360.9179132514
2017-10-29;"1";8;10;103766.534075104
2017-10-29;"1";10;12;24279.7587113039
2017-10-29;"1";12;14;315.33744952678
2017-10-29;"1";14;16;315.33744952678
2017-10-29;"1";16;18;315.33744952678
2017-10-29;"1";18;20;315.33744952678
2017-10-29;"1";20;22;315.33744952678
2017-10-29;"1";22;24;13818.77530263
2017-10-29;"1";0;2;39643.7535263549
2017-10-30;"1";0;2;66144.3618835743
2017-10-30;"1";2;4;30248.1857555837
2017-10-30;"1";4;6;7801.98142032653
2017-10-30;"1";6;8;7801.98142032653
2017-10-30;"1";8;10;7801.98142032653
2017-10-30;"1";10;12;27082.5841754791
2017-10-30;"1";12;14;97028.3230755013
2017-10-30;"1";14;16;102795.648050384
2017-10-30;"1";16;18;103206.02537742
2017-10-30;"1";18;20;26730.9191341222
2017-10-30;"1";20;22;3463.80756624632
2017-10-30;"1";22;24;10073.8296642647
2017-10-31;"1";0;2;43965.6195773081
2017-10-31;"1";2;4;79714.9523809524
2017-10-31;"1";4;6;12048.5714285714
2017-10-31;"1";6;8;12048.5714285714
2017-10-31;"1";8;10;12048.5714285714
2017-10-31;"1";10;12;55703.3050863103
2017-10-31;"1";12;14;102584.391950522
2017-10-31;"1";14;16;102663.530164026
2017-10-31;"1";16;18;32501.3388935224
2017-10-31;"1";18;20;11080
2017-10-31;"1";20;22;11080
2017-10-31;"1";22;24;13227.0018539118
2017-11-01;"1";0;2;36702.2563649931
2017-11-01;"1";2;4;77158.5704031276
2017-11-01;"1";4;6;6877.13901172851
2017-11-01;"1";6;8;6877.13901172851
2017-11-01;"1";8;10;6877.13901172851
2017-11-01;"1";10;12;6877.13901172851
2017-11-01;"1";12;14;6877.13901172851
2017-11-01;"1";14;16;6877.13901172851
2017-11-01;"1";16;18;47859.33243607
2017-11-01;"1";18;20;81451.7400282427
2017-11-01;"1";20;22;21961.5251059101
2017-11-01;"1";22;24;18746.6987182827
2017-11-02;"1";0;2;6963.36921880878
2017-11-02;"1";2;4;9905.92615230739
2017-11-02;"1";4;6;9905.92615230739
2017-11-02;"1";6;8;9905.92615230739
2017-11-02;"1";8;10;34629.6791783588
2017-11-02;"1";10;12;102518.023116043
2017-11-02;"1";12;14;102850.770226537
2017-11-02;"1";14;16;24020.7993185942
2017-11-02;"1";16;18;7.99911120986557
2017-11-02;"1";18;20;20160.0026056701
2017-11-02;"1";20;22;96365.5361836017
2017-11-02;"1";22;24;76731.5499427494
2017-11-03;"1";0;2;6860.01768538538
2017-11-03;"1";2;4;4020.81228531016
2017-11-03;"1";4;6;4020.81228531016
2017-11-03;"1";6;8;4020.81228531016
2017-11-03;"1";8;10;4020.81228531016
2017-11-03;"1";10;12;71317.8682925855
2017-11-03;"1";12;14;102102.718914428
2017-11-03;"1";14;16;77168.9786421254
2017-11-03;"1";16;18;6738.66990797013
2017-11-03;"1";18;20;6738.66990797013
2017-11-03;"1";20;22;6738.66990797013
2017-11-03;"1";22;24;7528.15075530092
2017-11-04;"1";0;2;31808.0932297447
2017-11-04;"1";2;4;77968.7648856376
2017-11-04;"1";4;6;5777.86832114085
2017-11-04;"1";6;8;5777.86832114085
2017-11-04;"1";8;10;5777.86832114085
2017-11-04;"1";10;12;5777.86832114085
2017-11-04;"1";12;14;5777.86832114085
2017-11-04;"1";14;16;5777.86832114085
2017-11-04;"1";16;18;5777.86832114085
2017-11-04;"1";18;20;47817.591175989
2017-11-04;"1";20;22;87428.8274967575
2017-11-04;"1";22;24;31375.568627451
2017-11-05;"1";0;2;3880.29573556377
2017-11-05;"1";2;4;3505.88235294118
2017-11-05;"1";4;6;3505.88235294118
2017-11-05;"1";6;8;3505.88235294118
2017-11-05;"1";8;10;3505.88235294118
2017-11-05;"1";10;12;3505.88235294118
2017-11-05;"1";12;14;3505.88235294118
2017-11-05;"1";14;16;3505.88235294118
2017-11-05;"1";16;18;80894.7058823529
2017-11-05;"1";18;20;30869.6936866863
2017-11-05;"1";20;22;8460.47002611256
2017-11-05;"1";22;24;7338.93378399891
2017-11-06;"1";0;2;2781.7678089417
2017-11-06;"1";2;4;4254.70911818636
2017-11-06;"1";4;6;4254.70911818636
2017-11-06;"1";6;8;4254.70911818636
2017-11-06;"1";8;10;30592.1200200033
2017-11-06;"1";10;12;102816.514412417
2017-11-06;"1";12;14;102708.116777531
2017-11-06;"1";14;16;26988.9555817883
2017-11-06;"1";16;18;3964.72467189778
2017-11-06;"1";18;20;68804.6245129121
2017-11-06;"1";20;22;102157.915161619
2017-11-06;"1";22;24;56195.6870665859
2017-11-07;"1";0;2;26490.6362932911
2017-11-07;"1";2;4;1308.82649969703
2017-11-07;"1";4;6;1308.82649969703
2017-11-07;"1";6;8;1308.82649969703
2017-11-07;"1";8;10;1308.82649969703
2017-11-07;"1";10;12;79206.9383804222
2017-11-07;"1";12;14;102930.269005848
2017-11-07;"1";14;16;101610.997964094
2017-11-07;"1";16;18;28577.383578098
2017-11-07;"1";18;20;6455.44829502049
2017-11-07;"1";20;22;30873.6046021714
2017-11-07;"1";22;24;103151.291943829
2017-11-08;"1";0;2;55006.1171179497
2017-11-08;"1";2;4;6262.22222222222
2017-11-08;"1";4;6;6262.22222222222
2017-11-08;"1";6;8;6262.22222222222
2017-11-08;"1";8;10;19648.2962962963
2017-11-08;"1";10;12;91300.0902255639
